status,symbol,entry_time,exit_time,baseline_net_pnl,variant_net_pnl,delta_net_pnl,baseline_holding_bars,variant_holding_bars,baseline_reason,variant_reason
"variant_only","SOL","2023-12-29T12:00:00.000Z","2024-01-06T12:00:00.000Z","",-7381.967346000003,"","",16,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-02-11T12:00:00.000Z","2024-02-17T00:00:00.000Z",-25.107111600001645,"","",11,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-02-11T12:00:00.000Z","2024-02-17T00:00:00.000Z","",-25.159706100000278,"","",11,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-03-04T12:00:00.000Z","2024-04-02T12:00:00.000Z",23916.499329600007,"","",58,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-03-04T12:00:00.000Z","2024-04-02T12:00:00.000Z","",23966.549359200002,"","",58,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-05-20T12:00:00.000Z","2024-05-26T00:00:00.000Z",-5408.105916000002,"","",11,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-05-20T12:00:00.000Z","2024-05-26T00:00:00.000Z","",-5419.450864900005,"","",11,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-07-20T00:00:00.000Z","2024-08-02T12:00:00.000Z",-2890.070352399995,"","",27,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-07-20T00:00:00.000Z","2024-08-02T12:00:00.000Z","",-2896.1188144000016,"","",27,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-08-27T12:00:00.000Z","2024-08-28T00:00:00.000Z",-4454.035487199998,"","",1,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-08-27T12:00:00.000Z","2024-08-28T00:00:00.000Z","",-4463.340750400003,"","",1,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-09-29T12:00:00.000Z","2024-10-03T00:00:00.000Z",-8604.02943359999,"","",7,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-09-29T12:00:00.000Z","2024-10-03T00:00:00.000Z","",-8622.024378199983,"","",7,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-10-16T00:00:00.000Z","2024-11-03T12:00:00.000Z",3503.829195000007,"","",37,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-10-16T00:00:00.000Z","2024-11-03T12:00:00.000Z","",3511.1807148000025,"","",37,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-11-07T00:00:00.000Z","2024-11-12T12:00:00.000Z",9017.599936700002,"","",11,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-11-07T00:00:00.000Z","2024-11-12T12:00:00.000Z","",9036.502801399993,"","",11,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2024-11-18T00:00:00.000Z","2024-11-23T12:00:00.000Z",5882.329871999995,"","",11,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2024-11-18T00:00:00.000Z","2024-11-23T12:00:00.000Z","",5894.698896000002,"","",11,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2025-01-06T12:00:00.000Z","2025-01-08T00:00:00.000Z",-5187.628737400004,"","",3,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2025-01-06T12:00:00.000Z","2025-01-08T00:00:00.000Z","",-5198.5238933,"","",3,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2025-01-17T12:00:00.000Z","2025-01-27T12:00:00.000Z",1780.9086998999962,"","",20,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2025-01-17T12:00:00.000Z","2025-01-27T12:00:00.000Z","",1784.6372104000066,"","",20,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2025-04-15T12:00:00.000Z","2025-04-16T00:00:00.000Z",-3594.6966527999894,"","",1,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2025-04-15T12:00:00.000Z","2025-04-16T00:00:00.000Z","",-3602.1928447999894,"","",1,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2025-04-21T00:00:00.000Z","2025-05-02T00:00:00.000Z",5813.638142399987,"","",22,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2025-04-21T00:00:00.000Z","2025-05-02T00:00:00.000Z","",5825.883251099992,"","",22,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2025-07-07T00:00:00.000Z","2025-07-12T12:00:00.000Z",5293.676303199993,"","",11,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2025-07-07T00:00:00.000Z","2025-07-12T12:00:00.000Z","",5304.788948799983,"","",11,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2025-09-22T00:00:00.000Z","2025-09-22T12:00:00.000Z",-8771.322482999998,"","",1,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2025-09-22T00:00:00.000Z","2025-09-22T12:00:00.000Z","",-8789.771875499988,"","",1,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
"baseline_only","SOL","2025-10-03T00:00:00.000Z","2025-10-08T00:00:00.000Z",-8266.53434880001,"","",10,"","baseline-close>sma40|mom20-ok|sol-ok|retq22-off",""
"variant_only","SOL","2025-10-03T00:00:00.000Z","2025-10-08T00:00:00.000Z","",-8283.948441600009,"","",10,"","trend-close>sma40|mom20-ok|sol-ok|retq22-off"
